    187.0,   17.70,   280.4
    188.0,   17.65,   281.3
    189.0,   17.59,   282.2
    190.0,   17.54,   283.0
    191.0,   17.51,   283.5
    192.0,   17.78,   282.1
    193.0,   17.72,   283.0
    194.0,   17.98,   281.8
    195.0,   18.09,   281.4
    196.0,   18.05,   282.0
    197.0,   18.33,   280.5
    198.0,   19.08,   276.1
    199.0,   19.05,   276.6
    200.0,   19.33,   275.2
    201.0,   19.26,   276.1
    202.0,   20.64,   268.8
    203.0,   20.55,   269.9
    204.0,   20.50,   270.6
    205.0,   20.93,   268.7
    206.0,   20.87,   269.5
    207.0,   23.22,   258.7
    208.0,   24.68,   254.6
    209.0,   25.80,   252.4
    210.0,   25.60,   254.5
    211.0,   25.48,   255.6
    212.0,   25.35,   256.9
    213.0,   26.85,   252.0
    214.0,   26.61,   254.3
    215.0,   26.46,   255.7
    216.0,   26.33,   257.0
    217.0,   26.15,   258.8
    218.0,   25.94,   260.9
    219.0,   25.73,   263.0
    220.0,   25.58,   264.5
    221.0,   25.47,   265.7
    222.0,   25.34,   267.1
    223.0,   25.20,   268.5
    224.0,   25.10,   269.5
    225.0,   25.04,   270.3
    226.0,   24.97,   271.0
    227.0,   24.88,   272.0
    228.0,   24.96,   272.2
    229.0,   24.88,   273.0
    230.0,   24.81,   273.8
    231.0,   24.72,   274.8
    232.0,   24.59,   276.3
    233.0,   24.44,   278.0
    234.0,   24.29,   279.6
    235.0,   24.13,   281.5
    236.0,   24.00,   283.0
    237.0,   23.87,   284.5
    238.0,   23.75,   285.9
    239.0,   24.28,   283.9
    240.0,   24.19,   285.0
    241.0,   24.10,   286.0
    242.0,   26.07,   277.1
    243.0,   25.97,   278.2
    244.0,   25.87,   279.2
    245.0,   25.78,   280.2
    246.0,   25.70,   281.1
    247.0,   25.60,   282.2
    248.0,   25.50,   283.3
    249.0,   25.43,   284.1
    250.0,   25.35,   284.9
    251.0,   25.27,   285.8
    252.0,   25.19,   286.8
    253.0,   25.11,   287.7
    254.0,   25.03,   288.6
    255.0,   24.95,   289.5
    256.0,   24.87,   290.5
    257.0,   24.79,   291.4
    258.0,   24.70,   292.4
    259.0,   24.60,   293.6
    260.0,   24.46,   295.4
    261.0,   24.27,   297.7
    262.0,   24.12,   299.5
    263.0,   24.16,   300.1
    264.0,   24.07,   301.2
    265.0,   24.00,   302.1
    266.0,   23.92,   303.1
    267.0,   23.84,   304.1
    268.0,   23.90,   304.4
    269.0,   23.81,   305.6
    270.0,   23.72,   306.7
    271.0,   23.64,   307.8
    272.0,   23.56,   308.8
    273.0,   23.47,   309.9
    274.0,   23.39,   311.1
    275.0,   23.45,   311.3
    276.0,   23.80,   309.9
    277.0,   23.70,   311.3
    278.0,   23.62,   312.4
    279.0,   23.54,   313.4
    280.0,   23.45,   314.6
    281.0,   23.50,   315.0
    282.0,   23.40,   316.3
    283.0,   23.45,   316.7
    284.0,   23.50,   317.1
    285.0,   23.53,   317.8
    286.0,   23.41,   319.5
    287.0,   23.29,   321.1
    288.0,   23.16,   322.9
    289.0,   23.15,   324.2
    290.0,   23.00,   326.2
    291.0,   22.87,   328.1
    292.0,   22.73,   330.1
    293.0,   22.59,   332.2
    294.0,   20.80,   354.8
    295.0,   19.17,   372.2
    296.0,   18.23,   385.5
    297.0,   17.22,   395.6
    298.0,   16.12,   403.0
    299.0,   15.47,   408.5
    300.0,   14.87,   412.6
    301.0,   14.31,   415.6
    302.0,   13.84,   417.7
    303.0,   13.16,   419.1
    304.0,   12.38,   419.9
    305.0,   12.18,   420.3
    306.0,   12.17,   420.5
    307.0,   12.16,   420.7
    308.0,   11.97,   420.9
    309.0,   11.39,   420.9
    310.0,   10.92,   420.9
    311.0,   10.74,   420.9
    312.0,   10.68,   421.0
    313.0,   10.67,   421.1
    314.0,   10.54,   421.1
    315.0,   10.49,   421.2
    316.0,   10.70,   417.7
    317.0,   10.35,   417.9
    318.0,    9.36,   417.9
    319.0,    8.00,   417.9
    320.0,    5.86,   417.9
    321.0,    2.78,   417.9
    322.0,    0.00,   417.9
    323.0,    0.00,   200.0
    324.0,    0.00,   200.0
    325.0,    0.00,   200.0
    326.0,    0.00,   200.0
    327.0,    0.00,   200.0
